method,n_forecasts,mae,rmse,mape,n_mape,mdape,target_year
naive,198,192429.6717171717,414745.8725386955,31.854456030023425,198,8.073418906349596,2022
seasonal_naive,198,458285.9494949495,917090.2237224719,79.48374461454499,198,19.506255671085537,2022
pooled_ar,198,219619.9905137492,467760.95721029164,33.566868681828005,198,9.401949592594427,2022
naive,199,104897.55778894473,213572.53372397018,8.634300869536462,199,3.981403330426632,2023
seasonal_naive,199,462895.6231155779,1027731.5419419592,24.441270033592254,199,15.750757247944613,2023
pooled_ar,199,144051.3456616851,244310.9896667861,10.973478124063519,199,6.2608042006001785,2023
naive,200,79489.7,159863.27250794662,6.253885988621917,200,2.6186578617766285,2024
seasonal_naive,200,198305.51,359476.6290738523,15.642058818207918,200,7.815362087326943,2024
pooled_ar,200,94570.86918752526,202791.4898510511,6.479628074779748,200,2.7577621364177065,2024
naive,198,110835.18181818182,294096.47907483036,10.253567016061792,198,2.8230252058758647,2025
seasonal_naive,198,268043.0505050505,619879.439634927,26.317490995113168,198,7.586510425418372,2025
pooled_ar,198,102578.66954684025,287347.8363171709,10.1507337560976,198,2.2532540444068245,2025
naive,98,85685.62244897959,161296.66340473382,3.8330324547132055,98,2.2390219615511566,2026
seasonal_naive,98,331838.6224489796,697178.1195102928,12.696794081664184,98,9.13432117602974,2026
pooled_ar,98,84996.5830116541,152252.62096348053,3.922445429720045,98,2.3522528260188578,2026
